Date,Open,High,Low,Close,Adj Close,Volume,Price Return,Total Return,Source,Quality Flag,Source Notes
2014-09-24,,,,3408.9439103731,3408.9439103731,,0.0237239688,0.0237239688,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-09-25,,,,3243.4648526718,3243.4648526718,,-0.0485426167,-0.0485426167,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-09-26,,,,3322.7167758106,3322.7167758106,,0.02443434,0.02443434,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-09-29,,,,3302.0659000377,3302.0659000377,,-0.0062150575,-0.0062150575,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-09-30,,,,3274.9977891503,3274.9977891503,,-0.0081973261,-0.0081973261,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-01,,,,3143.2828964191,3143.2828964191,,-0.040218315,-0.040218315,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-02,,,,3141.3304868958,3141.3304868958,,-0.0006211371,-0.0006211371,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-03,,,,3245.4172621951,3245.4172621951,,0.0331346147,0.0331346147,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-06,,,,3233.4185721262,3233.4185721262,,-0.0036971178,-0.0036971178,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-07,,,,3085.7984784167,3085.7984784167,,-0.0456544955,-0.0456544955,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-08,,,,3247.9293398903,3247.9293398903,,0.0525409752,0.0525409752,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-09,,,,3050.9166689655,3050.9166689655,,-0.0606579301,-0.0606579301,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-10,,,,2947.1080358894,2947.1080358894,,-0.0340253912,-0.0340253912,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-13,,,,2801.7191706716,2801.7191706716,,-0.0493327233,-0.0493327233,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-14,,,,2816.230107622,2816.230107622,,0.0051792974,0.0051792974,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-15,,,,2747.5822721517,2747.5822721517,,-0.0243757906,-0.0243757906,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-16,,,,2745.9085124104,2745.9085124104,,-0.0006091755,-0.0006091755,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-17,,,,2849.1586616185,2849.1586616185,,0.0376014528,0.0376014528,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-20,,,,2929.8070482067,2929.8070482067,,0.0283060356,0.0283060356,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-21,,,,3102.8209855035,3102.8209855035,,0.0590530142,0.0590530142,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-22,,,,3038.0798301289,3038.0798301289,,-0.0208652564,-0.0208652564,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-23,,,,3144.6786831234,3144.6786831234,,0.0350875747,0.0350875747,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-24,,,,3211.0934290531,3211.0934290531,,0.021119724,0.021119724,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-27,,,,3199.9308575166,3199.9308575166,,-0.0034762525,-0.0034762525,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-28,,,,3306.5307256288,3306.5307256288,,0.0333131786,0.0333131786,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-29,,,,3297.8795550424,3297.8795550424,,-0.002616389,-0.002616389,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-30,,,,3361.7839151395,3361.7839151395,,0.0193774087,0.0193774087,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-10-31,,,,3472.5691131294,3472.5691131294,,0.0329542888,0.0329542888,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-03,,,,3478.1502297114,3478.1502297114,,0.001607201,0.001607201,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-04,,,,3444.6635302194,3444.6635302194,,-0.0096277324,-0.0096277324,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-05,,,,3507.1727803573,3507.1727803573,,0.0181466926,0.0181466926,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-06,,,,3551.2630599591,3551.2630599591,,0.0125714592,0.0125714592,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-07,,,,3560.7503490779,3560.7503490779,,0.0026715253,0.0026715253,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-10,,,,3590.6103717464,3590.6103717464,,0.0083858793,0.0083858793,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-11,,,,3601.2129367385,3601.2129367385,,0.0029528587,0.0029528587,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-12,,,,3590.8888523422,3590.8888523422,,-0.0028668353,-0.0028668353,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-13,,,,3601.4927708245,3601.4927708245,,0.0029530066,0.0029530066,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-14,,,,3605.3992817338,3605.3992817338,,0.0010846921,0.0010846921,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-17,,,,3612.3761850201,3612.3761850201,,0.0019351264,0.0019351264,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-18,,,,3674.047624763,3674.047624763,,0.017072264,0.017072264,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-19,,,,3655.3511887485,3655.3511887485,,-0.0050887843,-0.0050887843,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-20,,,,3674.3254286137,3674.3254286137,,0.0051908117,0.0051908117,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-21,,,,3736.2767024424,3736.2767024424,,0.0168605844,0.0168605844,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-24,,,,3765.2995914609,3765.2995914609,,0.0077678639,0.0077678639,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-25,,,,3761.949364998,3761.949364998,,-0.0008897636,-0.0008897636,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-26,,,,3787.0654047346,3787.0654047346,,0.0066763365,0.0066763365,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-11-28,,,,3762.2281839664,3762.2281839664,,-0.0065584346,-0.0065584346,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-01,,,,3685.4883385227,3685.4883385227,,-0.0203974458,-0.0203974458,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-02,,,,3751.06696592,3751.06696592,,0.0177937417,0.0177937417,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-03,,,,3799.0647715487,3799.0647715487,,0.0127957741,0.0127957741,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-04,,,,3784.273154581,3784.273154581,,-0.003893489,-0.003893489,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-05,,,,3801.017181072,3801.017181072,,0.0044246347,0.0044246347,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-08,,,,3727.0685706644,3727.0685706644,,-0.0194549529,-0.0194549529,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-09,,,,3715.9059991279,3715.9059991279,,-0.0029950003,-0.0029950003,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-10,,,,3540.1011651676,3540.1011651676,,-0.047311432,-0.047311432,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-11,,,,3588.9361044463,3588.9361044463,,0.0137947864,0.0137947864,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-12,,,,3418.4322146095,3418.4322146095,,-0.0475081988,-0.0475081988,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-15,,,,3341.9705113892,3341.9705113892,,-0.0223674768,-0.0223674768,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
2014-12-16,,,,3267.4635862999,3267.4635862999,,-0.0222943096,-0.0222943096,Yahoo Finance chart API (UPRO adjusted-close total return),observed_upro_etf_adjusted_total_return,Observed UPRO ETF adjusted-close daily total return. Close == Adj Close (normalized 3x NAV level).
